Julian date,Count corrected [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s],Deviation angle [deg],Area front [m^2],Area side [m^2]
2459799.2917150925,8.0,-15.05853760361163,14.692078859799631,0.6733019250934508,7.31673031111111,112.70278223883146,-2.011836350859981,-8.114805637952632,19.396421633828005,-0.7385751437584296,0.47312612615913474,6.11,4.62
2459799.625048426,8.0,-15.364946798127749,14.755063854429181,0.670373457521406,5.343853985185184,113.3984417795249,-2.044837128803969,-8.454296174761792,19.53818357815093,-0.7601040148954742,0.0,6.11,4.62
2459799.9583817595,0,-15.67375320634087,14.81992513446135,0.667385771709192,0.0,114.08586236720048,-2.077149946286182,-8.79734605936768,19.679739759410797,-0.7818349428835605,0.24147442349920606,6.11,4.62
2459800.2917150925,12.0,-15.985033557133807,14.886716049509776,0.6643383988101008,7.239058014814814,114.76529619268466,-2.1087925784333694,-9.144064972373497,19.821090668463828,-0.8037742562274284,0.4861804088632339,6.11,4.62
2459800.625048426,6.0,-16.29886716129226,14.955492523059883,0.6612308549390185,3.4797188740740737,115.43699471928352,-2.139782573390727,-9.49456677745371,19.962236125804,-0.8259285168035767,0.0,6.11,4.62
2459800.9583817595,0,-16.61533602727186,15.026313184926192,0.6580626407211317,0.0,116.10120855548774,-2.1701371608436686,-9.848969734446309,20.103175218589303,-0.8483045038795632,0.24708155049174452,6.11,4.62
2459801.2917150925,20.0,-16.934524941348624,15.099239525075646,0.6548332407136194,7.145851259259259,116.75818726931678,-2.199873362261115,-10.20739668074467,20.24390622539272,-0.8709092743757826,0.49967704426341886,6.11,4.62
2459801.625048426,13.0,-17.2565217014623,15.174336065881812,0.6515421228398882,7.922574222222221,117.4081794767314,-2.2290079136227194,-10.56997536329254,20.38442659855516,-0.8937501557295863,0.019782341029446364,6.11,4.62
2459801.9583817595,0,-17.58141722954531,15.251670535670344,0.648188737863916,0.0,118.05143274511292,-2.2575572068949468,-10.936838668154191,20.524732883361484,-0.9168347405147261,0.25564439666474065,6.11,4.62
2459802.2917150925,24.0,-17.909305739511264,15.331314070492231,0.6447725187128317,7.068178962962961,118.68819358308899,-2.2855373472721983,-11.308124906143691,20.664820660507772,-0.9401709288570821,0.5143425912433909,6.11,4.62
2459802.625048426,20.0,-18.240284913086526,15.41334139304698,0.641292879822169,5.468129659259259,119.318707520033,-2.31296416212807,-11.683978128592456,20.804684447548205,-0.9637669519683795,0.0,6.11,4.62
2459802.9583817595,0,-18.574456099867742,15.497831062343623,0.6377492165139046,0.0,119.9432191286739,-2.339853077571014,-12.064548457890563,20.94431765136419,-0.9876313425675294,0.2624426388026188,6.11,4.62
2459803.2917150925,19.0,-18.911924448119787,15.584865727149115,0.6341409042180507,7.31673031111111,120.56197197455761,-2.366219254817063,-12.44999236754897,21.08371246931128,-1.0117730101354485,0.5308178072784638,6.11,4.62
2459803.625048426,17.0,-19.252799188297196,15.674532312727772,0.6304672977068652,7.969177599999998,121.17520896446439,-2.392077524192546,-12.840473150415969,21.222859752629923,-1.0362012359054347,0.0,6.11,4.62
2459803.9583817595,0,-19.597193840058793,15.766922363823532,0.6267277303607941,0.0,121.78317232111189,-2.417442329275763,-13.236161279560523,21.36174895770227,-1.0609256718760667,0.2726810091663889,6.11,4.62
2459804.2917150925,19.0,-19.945226436936004,15.862132379426486,0.622921513254777,6.990506666666665,122.386103652674,-2.442327833427778,-13.6372348128574,21.50036805677616,-1.0859564103823363,0.5496522344246392,6.11,4.62
2459804.625048426,11.0,-20.29701978731862,15.960264039491056,0.6190479342587364,4.722475614814816,122.98424431117577,-2.4667478678992683,-14.043879893932166,21.63870332150797,-1.1113039843548804,0.0,6.11,4.62
2459804.9583817595,0,-20.652701747762794,16.06142461158084,0.61510625716527,0.0,123.57783548519662,-2.4907158840330506,-14.456291228905522,21.776739238144767,-1.1369793729240216,0.2818552568026587,6.11,4.62
